"ИНВ №","ПЭГ-2000","ДЦГ-18К6","МО/ПС","ТХ-100","БКЗ/ПС","УНТ","ПЭГСб","Tw","а123","a124","a125","a126","a127","a128","a134","a135","a136","a137","a138","a145","a146","a147","a148","a156","a157","a158","a167","a168","a178","a234","a235","a236","a237",238,"a245","a246",247,248,"a256","a257","a258","a267",268,278,"a345","a346",347,348,"a356",357,358,"a367",368,378,"a456","a457",458,467,468,"a478","a567",568,"a578","a678"
9394,15,11,6,12,8,5,11,8,2.09,2.82,2.35,1.98,2.71,2.35,2.45,2.67,2.12,2.51,2.67,2.17,1.84,2.51,2.17,2.00,2.87,2.51,2.31,2.54,2.35,2.63,2.86,2.31,2.69,2.86,1.80,1.47,2.15,1.80,2.21,3.08,2.72,2.46,2.68,1.99,1.23,0.90,1.57,1.23,1.52,2.39,2.02,2.62,2.85,1.37,2.18,3.06,2.69,2.41,2.64,2.10,2.68,2.91,1.63,1.26
394,19,16,8,15,10,6,14,10,1.88,2.48,2.05,1.73,2.40,2.05,2.52,2.63,2.03,2.57,2.63,2.18,1.83,2.55,2.18,1.96,2.88,2.50,2.26,2.49,2.32,2.62,2.73,2.13,2.67,2.73,1.98,1.63,2.35,1.98,2.09,3.02,2.63,2.33,2.55,2.13,1.27,0.92,1.64,1.27,1.55,2.48,2.09,2.71,2.93,1.39,2.15,3.07,2.69,2.36,2.58,2.06,2.62,2.84,1.59,1.21
9396,22,16,8,14,10,8,15,10,2.04,2.56,2.21,2.04,2.64,2.21,2.50,2.56,2.30,2.45,2.56,2.27,2.07,2.73,2.27,2.14,2.74,2.41,2.45,2.56,2.26,2.67,2.73,2.46,2.62,2.73,2.13,1.93,2.60,2.13,2.37,2.97,2.63,2.62,2.73,1.98,1.39,1.19,1.86,1.39,1.83,2.43,2.09,2.51,2.62,1.27,2.48,3.07,2.74,2.71,2.82,1.82,2.77,2.88,1.46,1.27
396,19,13,7,12,9,7,15,9,2.09,2.62,2.30,2.09,2.89,2.30,2.52,2.60,2.30,2.37,2.60,2.31,2.08,2.90,2.31,2.14,2.67,2.43,2.37,2.60,2.09,2.73,2.81,2.51,2.58,2.81,2.12,1.89,2.71,2.12,2.43,2.97,2.73,2.58,2.81,1.64,1.46,1.22,2.05,1.46,1.77,2.31,2.06,2.42,2.65,1.09,2.40,2.93,2.69,2.64,2.87,1.55,2.71,2.94,1.27,1.09
9571,19,14,8,15,9,6,13,10,2.12,2.79,2.22,1.94,2.62,2.32,2.52,2.51,2.03,2.63,2.63,2.09,1.83,2.46,2.18,1.98,2.80,2.56,2.30,2.49,2.41,2.71,2.70,2.23,2.82,2.82,1.73,1.47,2.10,1.82,2.21,3.03,2.78,2.43,2.62,2.14,1.18,0.92,1.55,1.27,1.77,2.59,2.34,2.75,2.93,1.53,2.15,2.97,2.72,2.40,2.58,2.22,2.75,2.93,1.64,1.32
571,18,14,8,12,8,5,12,10,2.07,2.47,2.07,1.80,2.47,2.27,2.73,2.39,1.88,2.73,2.66,2.24,1.91,2.69,2.48,1.88,2.73,2.66,2.21,2.31,2.48,2.89,2.56,2.05,2.89,2.82,2.09,1.76,2.54,2.32,2.05,2.89,2.82,2.29,2.40,2.32,1.46,1.12,1.91,1.69,1.85,2.69,2.62,2.64,2.74,1.69,2.18,3.03,2.95,2.36,2.47,2.14,2.64,2.74,1.69,1.36
9332,17,13,7,12,8,4,14,9,2.04,2.57,2.15,1.76,2.76,2.25,2.57,2.51,1.77,2.46,2.65,2.30,1.87,2.93,2.42,1.75,2.63,2.57,2.02,2.20,2.10,2.73,2.67,1.93,2.62,2.81,2.00,1.57,2.64,2.12,1.94,2.82,2.76,2.09,2.27,1.78,1.34,0.91,1.97,1.46,1.52,2.40,2.34,2.41,2.60,1.20,2.01,2.89,2.83,2.12,2.30,1.69,2.32,2.50,1.29,0.94
332,17,10,7,11,7,4,12,8,2.18,2.70,2.18,1.78,2.80,2.32,2.65,2.35,1.77,2.57,2.51,2.17,1.82,2.77,2.30,1.77,2.57,2.51,2.07,2.27,2.30,3.03,2.74,2.16,2.96,2.90,1.75,1.40,2.35,1.88,2.16,2.96,2.90,2.25,2.45,1.69,1.37,1.02,1.97,1.50,1.77,2.58,2.52,2.47,2.67,1.34,2.07,2.87,2.81,2.20,2.40,1.80,2.47,2.67,1.34,1.03
"332 п",16,12,8,12,8,5,10,9,2.24,2.69,2.24,1.91,2.47,2.36,2.80,2.46,1.96,2.73,2.61,2.24,1.91,2.47,2.36,1.96,2.73,2.61,2.35,2.42,2.51,3.03,2.69,2.18,2.95,2.83,1.91,1.57,2.14,2.02,2.18,2.95,2.83,2.47,2.54,2.45,1.46,1.12,1.69,1.57,1.85,2.62,2.50,2.74,2.81,1.97,2.18,2.95,2.83,2.47,2.54,2.45,2.74,2.81,1.97,1.55
9392,17,12,7,13,8,5,13,9,2.18,2.84,2.30,1.96,2.84,2.42,2.51,2.51,1.97,2.51,2.65,2.15,1.85,2.67,2.25,1.92,2.69,2.57,2.19,2.40,2.25,2.73,2.74,2.19,2.73,2.87,1.74,1.44,2.26,1.85,2.18,2.96,2.83,2.32,2.54,1.85,1.21,0.91,1.73,1.32,1.69,2.46,2.34,2.70,2.92,1.32,2.11,2.88,2.76,2.29,2.50,1.94,2.60,2.81,1.42,1.12
392,18,13,6,13,8,6,12,9,2.00,2.73,2.21,2.00,2.63,2.31,2.32,2.59,2.26,2.37,2.60,2.21,2.00,2.63,2.31,2.06,2.73,2.53,2.37,2.60,2.36,2.47,2.75,2.41,2.52,2.75,1.83,1.63,2.26,1.94,2.29,2.96,2.76,2.52,2.75,2.12,1.11,0.90,1.53,1.22,1.69,2.36,2.17,2.46,2.69,1.35,2.29,2.96,2.76,2.52,2.75,2.12,2.80,3.02,1.57,1.35
9398,18,12,7,14,9,6,12,10,2.13,2.88,2.36,2.01,2.69,2.48,2.43,2.62,2.14,2.55,2.71,2.17,1.88,2.47,2.27,2.01,2.80,2.59,2.37,2.51,2.48,2.68,2.87,2.39,2.80,2.96,1.69,1.40,1.99,1.79,2.24,3.02,2.81,2.57,2.71,2.14,1.20,0.91,1.49,1.30,1.61,2.40,2.19,2.65,2.78,1.57,2.21,2.99,2.78,2.48,2.62,2.32,2.80,2.93,1.81,1.46
398,16,14,6,12,7,7,12,9,1.75,2.33,1.84,1.84,2.33,2.03,2.42,2.49,2.49,2.42,2.65,2.12,2.12,2.69,2.36,2.38,2.60,2.68,2.60,2.68,2.36,2.48,2.56,2.56,2.48,2.71,1.97,1.97,2.54,2.21,2.46,2.68,2.76,2.68,2.76,2.21,1.11,1.11,1.68,1.35,2.17,2.39,2.47,2.39,2.47,1.35,2.58,2.80,2.87,2.80,2.87,2.02,2.58,2.65,1.46,1.46
9599,17,14,7,13,8,6,12,10,1.91,2.50,2.00,1.82,2.40,2.20,2.51,2.51,2.17,2.57,2.74,2.15,1.94,2.57,2.36,2.09,2.76,2.69,2.39,2.53,2.53,2.62,2.62,2.28,2.68,2.85,1.92,1.72,2.35,2.14,2.23,2.89,2.82,2.48,2.62,2.32,1.21,1.00,1.63,1.42,1.86,2.53,2.46,2.65,2.78,1.57,2.29,2.96,2.88,2.52,2.66,2.24,2.80,2.93,1.69,1.46
599,19,13,8,12,8,6,13,10,2.19,2.62,2.19,1.99,2.72,2.41,2.70,2.36,2.03,2.63,2.63,2.19,1.96,2.74,2.43,2.03,2.63,2.63,2.30,2.49,2.41,2.96,2.62,2.29,2.88,2.88,2.00,1.77,2.55,2.24,2.29,2.88,2.88,2.47,2.66,2.05,1.46,1.23,2.00,1.69,2.02,2.62,2.62,2.75,2.93,1.53,2.36,2.96,2.95,2.52,2.71,1.95,2.75,2.93,1.53,1.32
334,18,13,6,15,7,6,14,9,2.00,2.90,2.10,2.00,2.82,2.31,2.25,2.45,2.26,2.28,2.60,1.85,1.77,2.49,2.03,2.14,2.43,2.62,2.28,2.60,2.17,2.40,2.60,2.41,2.43,2.75,1.46,1.38,2.10,1.64,2.33,2.62,2.81,2.43,2.75,1.78,0.83,0.75,1.47,1.01,1.99,2.28,2.47,2.37,2.69,1.10,2.24,2.53,2.71,2.36,2.67,1.96,2.56,2.88,1.20,1.10
386,16,11,6,11,7,5,11,9,2.10,2.72,2.23,1.99,2.72,2.48,2.48,2.49,2.09,2.48,2.65,2.23,1.99,2.72,2.48,2.00,2.68,2.68,2.29,2.42,2.48,2.69,2.71,2.31,2.69,2.86,1.86,1.62,2.36,2.12,2.27,2.94,2.94,2.46,2.59,2.12,1.25,1.00,1.74,1.50,1.79,2.47,2.47,2.62,2.75,1.50,2.27,2.94,2.94,2.46,2.59,2.12,2.79,2.92,1.63,1.38
388,15,12,7,10,8,4,12,8,2.05,2.40,2.17,1.74,2.62,2.17,2.80,2.58,1.84,2.64,2.58,2.43,1.89,2.91,2.43,1.83,2.84,2.51,2.10,2.30,2.17,2.96,2.74,1.99,2.80,2.74,2.31,1.77,2.79,2.31,2.01,3.03,2.69,2.17,2.37,1.91,1.69,1.15,2.17,1.69,1.52,2.53,2.20,2.47,2.67,1.34,1.94,2.95,2.62,2.25,2.45,1.69,2.37,2.57,1.46,1.03
390,18,13,8,13,9,4,13,10,2.21,2.73,2.31,1.82,2.73,2.42,2.66,2.53,1.72,2.66,2.66,2.31,1.82,2.73,2.42,1.72,2.84,2.59,2.03,2.13,2.42,2.88,2.76,1.94,2.88,2.88,1.94,1.45,2.36,2.05,1.98,3.10,2.85,2.11,2.22,2.05,1.42,0.93,1.83,1.53,1.47,2.59,2.34,2.34,2.45,1.53,1.98,3.10,2.85,2.11,2.22,2.05,2.27,2.38,1.64,1.14
8820,30,21,10,15,7,15,18,17,2.03,2.36,1.86,2.36,2.56,2.49,2.60,1.86,2.60,2.44,2.49,1.74,2.46,2.68,2.61,2.22,2.13,2.16,2.68,2.61,2.53,2.77,2.03,2.77,2.61,2.66,2.02,2.74,2.95,2.89,2.33,2.23,2.26,2.95,2.89,2.47,1.19,1.91,2.12,2.06,2.80,2.71,2.74,2.12,2.06,1.68,2.49,2.39,2.42,2.57,2.51,2.07,1.85,1.79,1.47,2.07
8860,28,21,12,16,8,12,17,15,2.11,2.37,1.86,2.11,2.44,2.31,2.71,1.92,2.37,2.76,2.64,1.88,2.23,2.63,2.48,2.55,2.28,2.36,2.76,2.64,2.46,2.89,2.11,2.56,2.95,2.82,1.99,2.34,2.74,2.59,2.65,2.39,2.47,2.95,2.82,2.46,1.35,1.69,2.10,1.95,3.03,2.76,2.84,2.75,2.62,1.81,2.80,2.53,2.62,3.08,2.95,2.13,2.30,2.17,1.49,1.81
8840,28,20,9,17,9,7,12,14,2.00,2.55,2.00,1.88,2.20,2.34,2.40,2.25,1.96,2.58,2.55,1.97,1.82,2.21,2.38,1.96,2.58,2.55,2.39,2.28,2.56,2.55,2.40,2.11,2.73,2.70,1.91,1.76,2.16,2.32,2.11,2.73,2.70,2.50,2.39,2.78,1.08,0.93,1.32,1.49,2.06,2.69,2.66,2.87,2.76,2.21,2.21,2.83,2.80,2.57,2.46,2.93,2.87,2.76,2.21,1.97
8840,27,18,9,17,10,10,14,14,2.01,2.62,2.09,2.09,2.40,2.40,2.41,2.39,2.39,2.56,2.56,2.08,2.08,2.41,2.41,2.30,2.69,2.69,2.69,2.69,2.49,2.61,2.59,2.59,2.77,2.77,1.87,1.87,2.20,2.20,2.54,2.92,2.92,2.92,2.92,2.65,1.16,1.16,1.49,1.49,2.23,2.61,2.61,2.61,2.61,1.87,2.58,2.96,2.96,2.96,2.96,2.59,2.74,2.74,1.97,1.97
8848,27,20,7,14,7,11,15,17,1.84,2.30,1.84,2.09,2.37,2.51,2.29,2.18,2.48,2.25,2.18,1.81,2.21,2.57,2.72,2.48,2.25,2.18,2.70,2.66,2.69,2.39,2.28,2.57,2.35,2.28,2.06,2.46,2.82,2.97,2.57,2.35,2.28,2.89,2.84,2.84,1.00,1.40,1.76,1.91,2.65,2.42,2.35,2.22,2.17,1.79,2.76,2.53,2.46,2.99,2.95,2.42,2.22,2.17,1.79,2.15
8826,26,18,9,11,6,12,16,14,2.05,2.20,1.85,2.28,2.59,2.43,2.51,1.83,2.61,2.47,2.58,1.75,2.47,2.73,2.65,2.26,2.11,2.17,2.75,2.60,2.46,2.70,2.01,2.80,2.65,2.77,2.00,2.72,2.98,2.90,2.37,2.22,2.28,3.02,2.88,2.34,1.50,2.22,2.48,2.40,2.80,2.65,2.71,2.36,2.21,1.60,2.63,2.48,2.54,2.58,2.44,1.78,2.01,1.86,1.36,1.86
8977,25,18,5,9,4,11,12,17,1.79,2.05,1.74,2.20,2.28,2.66,2.31,1.86,2.18,2.13,1.99,1.54,2.53,2.62,2.44,2.03,2.00,1.89,2.49,2.70,2.83,2.38,1.94,2.25,2.21,2.07,1.72,2.70,2.80,2.61,2.09,2.05,1.95,2.72,2.92,3.08,1.00,1.99,2.08,1.90,2.56,2.52,2.42,1.73,1.93,1.96,2.33,2.30,2.20,2.22,2.43,2.42,1.62,1.82,1.87,2.64
